,col
0,4977.424
1,4924.0425
2,4730.717000000001
3,4709.0545
4,4589.58
5,4433.6895
6,4017.4925
7,3686.145
8,3302.9205
9,3192.8695
10,3136.1040000000003
11,3120.871
12,3120.131
13,2920.323
14,3174.4215000000004
15,3504.5085
16,3992.818
17,4187.7715
18,4456.8375
19,4537.308
20,4823.902
21,4672.1255
22,4396.9305
23,4212.8705
24,4001.725
25,3393.1225
26,2821.5175
27,2275.545
28,2005.0075000000002
29,2042.5435
30,2141.7145
31,2622.0025
32,3133.241
33,3686.603
34,4337.574500000001
35,4602.8115
36,5216.544
37,5106.058
38,5154.971
39,5028.35
40,4096.589
41,3851.585
42,3582.252
43,3871.4449999999997
44,4205.412
45,4643.9765
46,4836.8395
47,4859.3655
48,4928.440500000001
49,5261.8675
50,5433.1105
51,5368.1055
52,5271.219499999999
53,5068.1900000000005
54,4990.4135
55,4893.146000000001
56,4967.1555
57,5165.348
58,5230.318499999999
59,5451.6735
60,5259.026
61,5352.649
62,5357.5225
63,4964.3189999999995
64,4921.529500000001
65,4557.014499999999
66,4482.998
67,4548.720499999999
68,4588.7925
69,4510.1595
70,4195.781
71,3708.2560000000003
72,3015.5425
73,2589.761
74,2003.5225
75,1661.7849999999999
76,1575.6295
77,1597.093
78,1853.5659999999998
79,2001.1025
80,1949.2715
81,1809.356
82,2281.8965
83,2722.546
84,2832.6265
85,2874.268
86,2869.4790000000003
87,2855.877
88,2966.831
89,3051.7035
90,2949.7115000000003
91,2794.498
92,2539.4539999999997
93,2199.5029999999997
94,1690.518
95,1480.723
96,1364.2675
97,1369.6705000000002
98,1237.3249999999998
99,1214.1525000000001
100,1267.5685
101,1278.3085
102,1286.37
103,1329.6985
104,1295.5155
105,1325.113
106,1339.413
107,1314.0520000000001
108,1386.146
109,1449.6945
110,1525.3020000000001
111,1667.537
112,1735.971
113,1916.3725
114,2230.1285
115,2681.2195
116,2966.148
117,3252.4210000000003
118,3688.0474999999997
119,3850.0885
120,4111.168
121,4191.2965
122,4226.2585
123,4834.7435000000005
124,5184.5
125,5224.2505
126,5199.074500000001
127,5228.3405
128,5061.70125
129,5139.290000000001
130,4853.63
131,4380.0185
132,4234.437
133,4105.3015
134,3857.786
135,3741.9375
136,3454.7195
137,3082.6195
138,3149.1545
139,2992.6580000000004
140,2846.184
141,2549.6369999999997
142,2280.16
143,2120.742
144,2056.4685
145,1980.4325
146,1876.732
147,1476.4615
148,1735.2
149,1747.2635
150,1840.6305
151,1860.1
152,1792.687
153,1764.1419999999998
154,1802.234
155,1789.717
156,1891.7845000000002
157,1922.2044999999998
158,1960.635
159,1926.7215
160,1952.1875
161,1977.7275
162,2142.2155000000002
163,2247.7165
164,2458.6324999999997
165,2673.0845
166,2835.0575
167,2918.321
168,2791.0515
169,3041.6375
170,3349.8215
171,3335.1085000000003
172,3532.7095
173,3543.072
174,3512.37
175,3863.2709999999997
176,3893.9795
177,4007.134
178,3808.492
179,3840.5860000000002
180,3892.6189999999997
181,3883.8005000000003
182,4039.72
183,3155.0445
184,4857.7945
185,4778.8625
186,5117.892
187,5260.0825
188,5226.138999999999
189,5252.8785
190,5042.914000000001
191,4803.4595
192,4778.8115
193,4762.8195
194,4611.6695
195,4308.0785
196,3996.7255
197,3884.38
198,3854.073
199,4032.645
200,4016.6575000000003
201,2846.1490000000003
202,4322.682000000001
203,4346.609
204,4396.1885
205,4520.352000000001
206,4630.4275
207,4661.7970000000005
208,4684.48
209,4748.606
210,4492.5765
211,4397.6065
212,4142.9645
213,3986.396
214,3867.4675
215,3590.7985
216,3431.7515000000003
217,3144.7160000000003
218,2703.567
219,2476.0325000000003
220,1987.0720000000001
221,1672.3155
222,1488.35
223,1225.795
224,1008.103
225,882.729
226,746.1045
227,670.2855
228,652.1500000000001
229,648.543
230,638.369
231,619.593
232,635.979
233,666.043
234,709.9875
235,749.0395
236,744.0799999999999
237,791.9839999999999
238,776.857
239,783.697
240,816.2255
241,854.491
242,897.319
243,899.4515
244,852.236
245,858.0455
246,839.0785000000001
247,761.7465
248,694.688
249,647.2555
250,643.0745
251,608.9590000000001
252,509.749
253,465.375
254,419.318
255,392.6165
256,408.017
257,552.965
258,611.4355
259,594.9572499999999
260,609.441
261,714.0655
262,966.3945
263,1237.4535
264,1410.3020000000001
265,1477.048
266,1661.8395
267,1787.276
268,2103.7525
269,2301.0545
270,2596.2129999999997
271,2966.977
272,3303.65
273,3782.3105
274,4022.1715
275,4244.952499999999
276,4433.4425
277,4589.067
278,4619.714
279,4630.27575
280,4748.3125
281,4983.835499999999
282,5393.780500000001
283,5462.1720000000005
284,5438.521
285,5339.2225
286,5536.688
287,5487.9875
288,5517.9400000000005
289,5569.9745
290,5542.861500000001
291,5355.3435
292,5119.668
293,5102.1314999999995
294,5142.387500000001
295,5309.877
296,5535.5395
297,5397.305
298,5605.9005
299,5499.6835
300,5324.636
301,5490.2545
302,5192.7725
303,5092.7505
304,5023.5735
305,4802.7425
306,4876.495
307,4832.1605
308,4757.221
309,4690.0905
310,4580.4655
311,4356.6615
312,4327.982
313,4228.9105
314,4143.706
315,2806.211
316,4103.244000000001
317,4234.925499999999
318,4226.5375
319,4295.989
320,4772.905000000001
321,4991.061
322,5222.4955
323,5508.6939999999995
324,5641.276
325,5780.698
326,5639.9185
327,5379.5650000000005
328,3793.286
329,6112.2315
330,6348.002
331,6511.7029999999995
332,6375.9865
333,6009.307500000001
334,5638.2185
335,5249.304
336,4856.75
337,4783.947
338,5146.258
339,5422.8935
340,5199.666499999999
341,4645.068
342,4129.796
343,3906.399
344,3968.643
345,3859.6865
346,3878.877
347,4180.9325
348,4683.977
349,5143.5285
350,5571.9475
351,5379.715
352,5256.3279999999995
353,4927.851
354,4985.242
355,5143.293
356,5052.723
357,3766.5965
358,5179.222
359,5339.8775000000005
360,5340.2495
361,5280.4169999999995
362,5470.2595
363,5528.634
364,5473.7835
365,5450.429
366,5501.9835
367,5753.558999999999
368,5684.5355
369,6021.5465
370,6139.7395
371,6179.425499999999
372,6325.936
373,4725.058
374,4595.632
375,6081.2665
376,5900.911
377,5581.445
378,5568.873
379,5467.468
380,5339.4755000000005
381,5193.0445
382,5237.254
383,5212.639
384,5262.836
385,5563.9805
386,4248.4839999999995
387,6373.807
388,6671.0275
389,6582.0205000000005
390,6779.13
391,6637.242
392,4822.295
393,6964.264
394,6816.523999999999
395,6677.3915
396,7041.9215
397,5070.6715
398,7014.662
399,6294.729
400,5988.3825
401,5421.992
402,5043.871
403,4293.772
404,3672.8475
405,3124.432
406,3007.3875
407,2762.449
408,2861.531
409,2999.6205
410,3160.0200000000004
411,3551.728
412,3817.961
413,3871.57
414,3684.602
415,2808.415
416,3533.0205
417,3564.9085
418,3494.491
419,3701.8135
420,3823.452
421,3605.643
422,3613.6745
423,3441.0765
424,3422.4355
425,3411.574
426,3424.7219999999998
427,3452.953
428,3356.0705
429,3522.1615
430,3586.4805
431,3519.0215
432,3610.031
433,3692.8085
434,3625.387
435,3923.0705
436,3943.1955
437,4088.747
438,4186.8825
439,4233.217000000001
440,4214.429
441,4250.200500000001
442,4446.177
443,4519.2365
444,4518.0715
445,4403.727
446,4372.2175
447,4337.918
448,3928.7735000000002
449,3795.7485
450,3665.4775
451,3789.73
452,3610.473
453,3671.0085
454,3545.367
455,3716.7715
456,3716.8615
457,3312.761
458,2896.349
459,2531.3005000000003
460,2069.113
461,1698.1599999999999
462,1478.4904999999999
463,1297.842
464,1125.975
465,1006.0705
466,1050.6855
467,1079.549
468,1131.205
469,1229.0155
470,1435.663
471,1572.815
472,1701.9180000000001
473,1722.627
474,1649.104
475,1592.8925
476,1454.982
477,1245.801
478,1199.656
479,1071.476
480,942.9225
481,854.603
482,789.485
483,677.625
484,783.731
485,945.12
486,1505.1622499999999
487,2107.712
488,2586.3765000000003
489,3117.1655
490,3692.9449999999997
491,4281.371
492,4553.6265
493,4684.9265
494,4952.217500000001
495,5112.0675
496,4719.0405
497,4351.254000000001
498,4359.4400000000005
499,4720.7105
500,4980.0985
501,4911.3555
502,4726.9525
503,4799.0605
504,4899.3060000000005
505,4543.936
506,4523.5335
507,4348.104
508,4327.3955000000005
509,4331.669
510,4286.117
511,4468.1305
512,4684.5830000000005
513,4588.838
514,4725.511
515,5337.737
516,5451.094
517,5811.536
518,5654.8305
519,5375.7775
520,4845.061
521,4356.259
522,4054.9714999999997
523,3913.911
524,3856.0
525,3809.5635
526,4217.288500000001
527,4377.1275000000005
528,5051.722
529,5186.8495
530,5255.3255
531,5238.724
532,5170.3975
533,5145.988
534,5461.2970000000005
535,5732.939
536,5906.892
537,6033.9715
538,6435.244500000001
539,6740.7435000000005
540,6871.718999999999
541,6896.914
542,6663.2029999999995
543,6709.6085
544,6439.9735
545,6532.439
546,6659.399
547,6264.3150000000005
548,5872.314
549,5765.566
550,5627.846
551,5610.144
552,5326.79
553,5224.907499999999
554,5251.9915
555,5879.175
556,5781.1675
557,6049.8405
558,6223.6285
559,7107.107
560,7267.4220000000005
561,7502.4895
562,7334.925499999999
563,7074.439
564,7046.8055
565,7433.3295
566,7574.7325
567,7325.885
568,6976.1985
569,6680.223
570,6191.9665
571,6199.017
572,5979.012000000001
573,5940.3875
574,5878.491
575,5759.41
576,5790.25
577,5745.3355
578,5440.282499999999
579,5180.3945
580,5038.103999999999
581,4869.804
582,4579.501
583,4456.7705000000005
584,4143.768
585,3907.138
586,3722.0255
587,3754.9375
588,3273.339
589,2771.116
590,2201.626
591,2076.926
592,1831.9279999999999
593,1710.431
594,1681.9775
595,1638.2685000000001
596,1588.7425
597,1697.888
598,1730.9085
599,1797.758
600,1793.518
601,1838.664
602,1663.7395
603,1514.6390000000001
604,1565.335
605,1358.7395000000001
606,1273.388
607,1083.9975
608,924.113
609,785.5985000000001
610,622.178
611,561.3855
612,530.4514999999999
613,580.1175000000001
614,732.5899999999999
615,941.1865
616,1052.7175000000002
617,1201.5135
618,1445.059
619,1781.8110000000001
620,2288.3415
621,2910.489
622,3483.0485
623,4065.0575
624,4201.624
625,4433.2285
626,4644.485000000001
